Chamado,InicioData,InicioHora,NormalizacaoData,NormalizacaooHora,Interrupcao,Funcionalidade,Item de Configuracao,Causa da Falha,Area,Node
55307,18/9/2014, 12:52,18/9/2014, 14:00,1:07:29,Rede Externa,MB,MÓDULO RF DESALINHADO CANAL DIRETO/RETORNO,SLA,5
55329,18/9/2014, 18:15,18/9/2014, 19:50,1:34:09,Rede Externa,SG2000,MÓDULO RF DESALINHADO CANAL DIRETO,SLA,14
55346,19/9/2014, 09:54,19/9/2014, 12:30,2:35:23,Rede Externa,CMTS,MAU CONTATO EM CONECTOR,SLA,8
55371,19/9/2014, 15:47,19/9/2014, 19:00,3:12:03,Rede Externa,CMTS,MAU CONTATO EM CONECTOR,SLA,3
55370,19/9/2014, 15:45,19/9/2014, 19:51,4:05:42,Rede Externa,BTD,MÓDULO RF DESALINHADO CANAL DIRETO/RETORNO,SLA,3
55372,19/9/2014, 15:56,19/9/2014, 20:20,4:23:22,Rede Externa,BTD,MÓDULO RF DESALINHADO CANAL DIRETO/RETORNO,SLA,3
55388,19/9/2014, 17:38,19/9/2014, 20:00,2:21:55,Node,CMTS,MAU CONTATO EM CONECTOR,SLA,3
55403,20/9/2014, 10:32,22/9/2014, 18:39,,Rede Externa,GERAL,IMPROCEDENTE,SLA,7
55404,20/9/2014, 10:37,20/9/2014, 14:30,,Rede Externa,GERAL,IMPROCEDENTE,SLA,3
55514,23/9/2014, 16:25,23/9/2014, 17:19,,Rede Externa,GERAL,IMPROCEDENTE,SLA,12
55517,23/9/2014, 17:29,23/9/2014, 19:00,1:30:02,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,SLA,4
55538,24/9/2014, 11:51,24/9/2014, 13:00,,Rede Externa,GERAL,IMPROCEDENTE,SLA,8
55544,24/9/2014, 14:02,24/9/2014, 17:00,2:57:44,Rede Externa,CABO COAXIAL,CABO COAXIAL DANIFICADO/ROMPIDO,SLA,9
55547,24/9/2014, 14:46,24/9/2014, 18:55,4:08:30,Rede Externa,SG4000,MÓDULO RF DESALINHADO CANAL RETORNO,SLA,4
55548,24/9/2014, 14:49,25/9/2014, 16:50,8:00:00,Rede Externa,MB,MÓDULO RF DESALINHADO CANAL DIRETO,SLA,1
55550,24/9/2014, 14:57,24/9/2014, 18:55,3:57:08,Rede Externa,GERAL,NORMALIZOU SEM INTERVENÇÃO,SLA,8
55553,24/9/2014, 15:45,25/9/2014, 19:00,,Rede Externa,GERAL,VERIFICAÇÃO DE REDE,SLA,13
55554,24/9/2014, 16:04,25/9/2014, 17:25,,Rede Externa,GERAL,IMPROCEDENTE,SLA,11
55572,25/9/2014, 09:19,25/9/2014, 11:35,2:15:41,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,SLA,11
55610,26/9/2014, 12:19,26/9/2014, 13:30,,Rede Externa,GERAL,IMPROCEDENTE,SLA,4
55668,27/9/2014, 09:37,27/9/2014, 14:00,,Rede Externa,GERAL,IMPROCEDENTE,SLA,6
54770,3/9/2014 ,07:13,3/9/2014, 13:20,6:06:12,Node,GERAL,CABO ÓPTICO ROMPIDO,SVI,15
54981,9/9/2014 ,15:13,9/9/2014, 18:40,3:26:58,Rede Externa,PASSIVOS,CONEXÃO DANIFICADA,SVI,33-A
55016,10/9/2014, 13:52,10/9/2014, 22:30,8:37:12,Rede Externa,FONTE EQUISUL,MÓDULO INTERMEDIÁRIO (MI) QUEIMADO,SVI,20
55211,16/9/2014, 10:59,16/9/2014, 13:00,2:00:40,Rede Externa,SG2000,FUSIVEL QUEIMADO OU COM MAU CONTATO,SVI,22
55231,16/9/2014, 17:43,16/9/2014, 18:55,1:11:01,Node,GERAL,REDE INTERNA,SVI,7
55245,17/9/2014, 10:23,17/9/2014, 12:10,1:46:25,Rede Externa,CABO COAXIAL,CABO COAXIAL DANIFICADO/ROMPIDO,SVI,22
55302,18/9/2014, 11:09,18/9/2014, 13:30,2:20:23,Rede Externa,GERAL,NORMALIZOU SEM INTERVENÇÃO,SVI,17
55345,19/9/2014 ,09:51,19/9/2014, 10:50,0:58:06,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,SVI,3
55350,19/9/2014 ,11:59,19/9/2014, 13:00,1:00:07,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,SVI,3
55686,28/9/2014 ,09:23,28/9/2014, 13:25,4:01:45,Node,PASSIVOS,GERANDO RUÍDO,SVI,27
55707,29/9/2014, 10:11,29/9/2014, 13:15,3:03:06,Node,FONTE EQUISUL,DISJUNTOR DESARMADO,SVI,24
55733,29/9/2014 ,15:52,29/9/2014, 16:08,0:15:32,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,SVI,30
54889,5/9/2014, 13:32,5/9/2014, 13:47,0:14:36,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,ULR,14
54899,5/9/2014, 17:29,5/9/2014, 18:20,0:50:24,Node,GERAL,RESET/AJUSTE RPR,ULR,14
54948,8/9/2014, 16:14,9/9/2014, 18:00,25:35:00,Node,CABO ÓPTICO,CABO ÓPTICO ROMPIDO,ULR,16
55007,10/9/2014, 11:02,10/9/2014, 14:15,3:12:16,Rede Externa,CABO COAXIAL,CABO COAXIAL DANIFICADO/ROMPIDO,ULR,2
55011,10/9/2014, 12:35,10/9/2014, 14:45,2:09:31,Rede Externa,CABO COAXIAL,CABO COAXIAL DANIFICADO/ROMPIDO,ULR,2
55340,19/9/2014, 08:32,19/9/2014, 09:20,0:47:22,Node,SG2000,MÓDULO RF DESALINHADO CANAL RETORNO,ULR,10
55344,19/9/2014, 09:25,19/9/2014, 10:25,0:59:43,Node,RPR,FALHA GERAL,ULR,14
55382,19/9/2014, 17:05,20/9/2014, 07:00,13:54:16,Node,GERAL,CABO ÓPTICO ROMPIDO,ULR,4
55383,19/9/2014, 17:06,20/9/2014, 07:00,13:53:51,Node,GERAL,CABO ÓPTICO ROMPIDO,ULR,5
55384,19/9/2014, 17:06,20/9/2014, 07:00,13:53:17,Node,GERAL,CABO ÓPTICO ROMPIDO,ULR,6
55385,19/9/2014, 17:07,19/9/2014, 07:00,13:53:00,Node,GERAL,CABO ÓPTICO ROMPIDO,ULR,7
55386,19/9/2014, 17:08,20/9/2014, 07:00,13:51:33,Node,GERAL,CABO ÓPTICO ROMPIDO,ULR,8
55387,19/9/2014, 17:09,20/9/2014, 07:00,13:50:26,Node,GERAL,CABO ÓPTICO ROMPIDO,ULR,10
54653,1/9/2014 ,08:30,1/9/2014, 13:40,5:09:05,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,URA,21
54654,1/9/2014 ,08:31,1/9/2014, 09:10,0:38:47,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,URA,20
54665,1/9/2014, 12:04,1/9/2014, 21:45,9:40:31,Rede Externa,MB,MÓDULO RF QUEIMADO,URA,43
54674,1/9/2014, 13:36,1/9/2014, 19:40,6:03:43,Rede Externa,PASSIVOS,CONEXÃO DANIFICADA,URA,3
54676,1/9/2014, 13:44,1/9/2014, 15:33,1:48:27,Rede Externa,MB,MÓDULO RF DESALINHADO CANAL DIRETO,URA,3
54681,1/9/2014, 14:50,1/9/2014, 21:00,6:09:12,Rede Externa,PASSIVOS,DANIFICADO,URA,6
54687,1/9/2014, 15:45,2/9/2014, 09:30,2:00:00,Rede Externa,CMTS,MAU CONTATO EM CONECTOR,URA,42
54699,1/9/2014, 18:50,1/9/2014, 22:30,3:39:20,Rede Externa,MB,MÓDULO RF DESALINHADO CANAL DIRETO,URA,1
54706,2/9/2014, 10:02,2/9/2014, 11:35,1:32:36,Node,GERAL,RUÍDO INTERMITENTE,URA,42
54708,2/9/2014, 10:28,2/9/2014, 14:18,3:49:19,Rede Externa,MB,MÓDULO RF DESALINHADO CANAL DIRETO/RETORNO,URA,24
54714,2/9/2014, 11:26,2/9/2014, 15:55,4:28:54,Rede Externa,BTD,FUSIVEL QUEIMADO OU COM MAU CONTATO,URA,1
54781,3/9/2014, 08:40,3/9/2014, 11:20,2:39:28,Node,GERAL,FALTA DE ENERGIA COMERCIAL,URA,46
54793,3/9/2014, 12:36,3/9/2014, 15:10,2:33:45,Rede Externa,BTD,MÓDULO RF DESALINHADO CANAL DIRETO,URA,1
54804,3/9/2014, 14:59,3/9/2014, 16:20,1:20:26,Rede Externa,BTD,MÓDULO RF DESALINHADO CANAL DIRETO,URA,11
54819,3/9/2014, 18:27,3/9/2014, 19:35,1:07:07,Rede Externa,PASSIVOS,INSTALADO INCORRETAMENTE,URA,9
54821,3/9/2014, 19:35,3/9/2014, 20:30,0:54:32,Rede Externa,SG2000,MÓDULO RF DESALINHADO CANAL DIRETO,URA,6
54840,4/9/2014, 10:46,4/9/2014, 16:25,5:38:51,Rede Externa,BTD,MÓDULO RF QUEIMADO,URA,39
54841,4/9/2014, 10:50,4/9/2014, 14:05,3:14:49,Rede Externa,BTD,MÓDULO RF QUEIMADO,URA,15
54847,4/9/2014, 11:33,4/9/2014, 14:05,2:31:11,Rede Externa,BTD,MÓDULO RF QUEIMADO,URA,15
54850,4/9/2014, 12:15,4/9/2014, 19:50,7:34:23,Rede Externa,MB,MÓDULO RF QUEIMADO,URA,1
54861,4/9/2014, 15:28,4/9/2014, 16:30,1:01:29,Rede Externa,BTD,MÓDULO RF QUEIMADO,URA,39
54862,4/9/2014, 15:37,4/9/2014, 16:30,0:52:36,Rede Externa,BTD,MÓDULO RF QUEIMADO,URA,39
54867,4/9/2014, 16:23,4/9/2014, 21:00,4:36:27,Rede Externa,MB,MÓDULO RF QUEIMADO,URA,12
54869,4/9/2014, 16:42,4/9/2014, 16:55,0:12:12,Rede Externa,BTD,MÓDULO RF QUEIMADO,URA,39
54878,5/9/2014, 08:36,5/9/2014, 09:20,0:43:11,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,URA,3
54882,5/9/2014, 09:50,5/9/2014, 18:20,8:29:58,Rede Externa,MB,MÓDULO RF QUEIMADO,URA,7
54885,5/9/2014, 11:38,5/9/2014, 20:20,8:41:47,Node,GERAL,REDE INTERNA,URA,3
54891,5/9/2014, 15:43,5/9/2014, 17:40,1:56:12,Rede Externa,BTD,FUSIVEL QUEIMADO OU COM MAU CONTATO,URA,15
54900,5/9/2014, 20:07,5/9/2014, 21:35,,Rede Externa,GERAL,VERIFICAÇÃO DE REDE,URA,12
54903,5/9/2014, 20:15,6/9/2014, 11:30,3:30:00,Rede Externa,MB,MÓDULO RF DESALINHADO CANAL DIRETO,URA,3
54912,6/9/2014, 11:23,6/9/2014, 13:00,1:36:48,Rede Externa,BTD,MÓDULO RF DESALINHADO CANAL DIRETO/RETORNO,URA,8
54915,6/9/2014, 14:06,6/9/2014, 15:30,,Rede Externa,GERAL,IMPROCEDENTE,URA,37
54920,7/9/2014, 08:08,7/9/2014, 12:30,4:21:55,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,URA,20
54932,8/9/2014, 11:22,8/9/2014, 16:30,5:08:00,Rede Externa,PASSIVOS,CONEXÃO DANIFICADA,URA,39
54936,8/9/2014, 13:57,8/9/2014, 19:30,,Rede Externa,GERAL,IMPROCEDENTE,URA,12
54949,8/9/2014, 16:44,8/9/2014, 18:30,1:45:10,Rede Externa,CABO COAXIAL,CABO COAXIAL DANIFICADO/ROMPIDO,URA,8
54986,9/9/2014, 16:44,9/9/2014, 18:40,1:55:58,Rede Externa,BTD,MÓDULO RF DESALINHADO CANAL RETORNO,URA,8
54990,9/9/2014, 17:01,9/9/2014, 19:45,,Rede Externa,GERAL,IMPROCEDENTE,URA,12
55014,10/9/2014, 13:49,10/9/2014, 16:25,2:36:00,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,URA,26
55015,10/9/2014, 13:49,10/9/2014, 14:25,0:35:30,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,URA,27
55031,10/9/2014, 17:39,10/9/2014, 19:00,1:20:15,Rede Externa,MB,MÓDULO RF DESALINHADO CANAL DIRETO,URA,11
55033,10/9/2014, 19:52,10/9/2014, 20:30,0:37:47,Rede Externa,MB,MÓDULO RF DESALINHADO CANAL DIRETO,URA,38
55034,10/9/2014, 19:58,10/9/2014, 22:25,2:26:37,Rede Externa,BTD,CONEXÃO DANIFICADA,URA,3
55051,11/9/2014, 10:43,11/9/2014, 11:45,1:01:09,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,URA,39
55071,11/9/2014, 16:15,11/9/2014, 16:50,,Rede Externa,GERAL,IMPROCEDENTE,URA,6
55100,12/9/2014, 14:46,12/9/2014, 17:30,2:43:09,Node,MB,CARCAÇA DANIFICADA,URA,38
55120,12/9/2014, 16:19,12/9/2014, 19:00,,Rede Externa,GERAL,CANCELADA,URA,35
55153,13/9/2014, 09:39,13/9/2014, 12:55,3:15:09,Rede Externa,BLE,MÓDULO RF DESALINHADO CANAL DIRETO,URA,6
55155,13/9/2014, 12:51,13/9/2014, 16:00,3:08:20,Rede Externa,CABO COAXIAL,CABO COAXIAL DANIFICADO/ROMPIDO,URA,12
55158,13/9/2014, 16:03,13/9/2014, 17:35,1:31:19,Rede Externa,BLE,MÓDULO RF DESALINHADO CANAL DIRETO,URA,2
55163,14/9/2014, 08:28,14/9/2014, 09:10,0:41:07,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,URA,22
55167,14/9/2014, 09:42,14/9/2014, 14:45,5:02:01,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,URA,6
55187,15/9/2014, 14:53,15/9/2014, 16:30,1:36:35,Rede Externa,CABO COAXIAL,CABO COAXIAL NECESSITANDO DE REPARO,URA,3
55202,15/9/2014, 20:11,15/9/2014, 21:30,1:18:07,Rede Externa,MB,MÓDULO RF DESALINHADO CANAL DIRETO,URA,1
55203,15/9/2014, 20:42,15/9/2014, 22:40,1:57:57,Rede Externa,SG2000,MÓDULO RF DESALINHADO CANAL DIRETO,URA,14
55204,15/9/2014, 20:48,15/9/2014, 22:40,1:51:33,Rede Externa,SG2000,MÓDULO RF DESALINHADO CANAL DIRETO,URA,14
55206,15/9/2014, 21:04,15/9/2014, 23:20,,Rede Externa,GERAL,IMPROCEDENTE,URA,4
55209,16/9/2014, 08:24,16/9/2014, 09:50,1:25:23,Node,GERAL,RUÍDO INTERMITENTE,URA,42
55213,16/9/2014, 12:58,16/9/2014, 15:05,2:06:44,Rede Externa,MB,MÓDULO RF QUEIMADO,URA,3
55218,16/9/2014, 13:16,16/9/2014, 15:30,2:13:46,Rede Externa,BLE,MÓDULO RF DESALINHADO CANAL DIRETO,URA,11
55224,16/9/2014, 15:22,16/9/2014, 17:00,1:37:31,Rede Externa,MB,MÓDULO RF QUEIMADO,URA,10
55228,16/9/2014, 16:50,16/9/2014, 19:55,3:04:47,Rede Externa,PASSIVOS,PRISIONEIRO MAU CONECTADO,URA,34
55230,16/9/2014, 17:22,16/9/2014, 20:55,3:32:37,Rede Externa,BTD,MÓDULO RF DESALINHADO CANAL DIRETO,URA,37
55233,16/9/2014, 17:55,16/9/2014, 21:10,3:14:20,Rede Externa,MB,MÓDULO RF DESALINHADO CANAL DIRETO,URA,14
55234,16/9/2014 ,19:11,16/9/2014, 21:40,2:28:45,Rede Externa,MB,MÓDULO RF DESALINHADO CANAL DIRETO,URA,14
55235,16/9/2014 ,19:21,16/9/2014, 20:30,,Rede Externa,GERAL,IMPROCEDENTE,URA,2
55258,17/9/2014 ,15:12,17/9/2014, 18:00,2:47:28,Rede Externa,MB,MÓDULO RF DESALINHADO CANAL DIRETO,URA,14
55280,18/9/2014 ,08:14,18/9/2014, 14:00,5:45:38,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,URA,21
55281,18/9/2014 ,08:15,18/9/2014, 08:55,0:39:47,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,URA,23
55308,18/9/2014 ,12:58,18/9/2014, 16:00,3:01:42,Rede Externa,BLE,MÓDULO RF DESALINHADO CANAL DIRETO,URA,23
55309,18/9/2014 ,13:09,18/9/2014, 17:40,4:30:56,Rede Externa,BTD,MÓDULO RF DESALINHADO CANAL DIRETO,URA,3
55318,18/9/2014 ,16:46,18/9/2014, 19:00,2:13:27,Rede Externa,BTD,MÓDULO RF DESALINHADO CANAL DIRETO,URA,41
55330,18/9/2014 ,18:52,19/9/2014, 09:00,14:07:26,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,URA,21
55339,19/9/2014 ,07:38,19/9/2014, 10:30,2:51:22,Node,PASSIVOS,GERANDO RUÍDO,URA,1
55374,19/9/2014, 16:19,20/9/2014, 18:00,25:40:23,Rede Externa,BTD,MÓDULO RF DESALINHADO CANAL DIRETO/RETORNO,URA,45
55395,19/9/2014, 19:33,19/9/2014, 20:10,,Rede Externa,GERAL,IMPROCEDENTE,URA,7
55418,20/9/2014, 14:10,20/9/2014, 19:10,,Rede Externa,GERAL,IMPROCEDENTE,URA,7
55431,20/9/2014, 21:07,20/9/2014, 23:00,1:52:33,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,URA,46
55438,21/9/2014, 08:27,21/9/2014, 13:10,4:42:56,Node,GERAL,FALTA DE ENERGIA COMERCIAL,URA,19
55441,21/9/2014, 13:25,22/9/2014, 02:30,13:04:13,Node,CABO ÓPTICO,CABO ÓPTICO ROMPIDO,URA,40
55443,21/9/2014, 17:13,22/9/2014, 02:00,8:46:27,Node,CABO ÓPTICO,CABO ÓPTICO ROMPIDO,URA,44
55453,22/9/2014, 08:42,22/9/2014, 09:45,1:02:06,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,URA,9
55455,22/9/2014, 08:43,22/9/2014, 09:50,1:06:21,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,URA,10
55456,22/9/2014, 08:44,22/9/2014, 10:45,2:00:54,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,URA,25
55457,22/9/2014, 08:44,22/9/2014, 14:00,5:15:34,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,URA,26
55458,22/9/2014, 08:44,22/9/2014, 11:50,3:05:15,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,URA,27
55459,22/9/2014, 08:45,22/9/2014, 12:00,3:14:57,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,URA,28
55465,22/9/2014, 13:17,22/9/2014, 17:40,4:22:21,Rede Externa,MB,MÓDULO RF QUEIMADO,URA,45
55471,22/9/2014, 15:50,22/9/2014, 17:30,1:39:34,Rede Externa,MB,FUSIVEL QUEIMADO OU COM MAU CONTATO,URA,45
55472,22/9/2014, 15:55,22/9/2014, 17:30,1:34:15,Rede Externa,MB,FUSIVEL QUEIMADO OU COM MAU CONTATO,URA,45
55474,22/9/2014, 16:09,22/9/2014, 17:30,1:20:12,Rede Externa,MB,FUSIVEL QUEIMADO OU COM MAU CONTATO,URA,45
55499,23/9/2014, 10:54,23/9/2014, 13:10,2:15:24,Rede Externa,MB,MÓDULO RF QUEIMADO,URA,1
55515,23/9/2014, 16:38,23/9/2014, 18:00,,Rede Externa,GERAL,VERIFICAÇÃO DE REDE,URA,9
55516,23/9/2014, 17:01,23/9/2014, 18:00,,Rede Externa,GERAL,VERIFICAÇÃO DE REDE,URA,9
55522,23/9/2014, 20:21,23/9/2014, 21:29,,Rede Externa,GERAL,IMPROCEDENTE,URA,9
55534,24/9/2014, 10:20,24/9/2014, 12:55,2:34:14,Rede Externa,BLE,MÓDULO RF DESALINHADO CANAL DIRETO,URA,19
55535,24/9/2014, 11:24,24/9/2014, 13:00,1:35:38,Rede Externa,BLE,MÓDULO RF DESALINHADO CANAL DIRETO,URA,28
55537,24/9/2014, 11:42,24/9/2014, 13:42,1:59:28,Rede Externa,BTD,MÓDULO RF DESALINHADO CANAL DIRETO/RETORNO,URA,38
55546,24/9/2014, 14:44,24/9/2014, 19:00,4:15:50,Rede Externa,MB,MÓDULO RF DESALINHADO CANAL DIRETO,URA,26
55571,25/9/2014, 09:02,25/9/2014, 19:00,9:57:42,Node,FONTE EQUISUL,FONTE DANIFICADA POR ARROMBAMENTO,URA,29
55574,25/9/2014, 12:42,25/9/2014, 16:30,3:47:19,Rede Externa,MB,MÓDULO RF DESALINHADO CANAL DIRETO,URA,8
55575,25/9/2014, 12:46,25/9/2014,21:00,8:13:30,Rede Externa,MB,MÓDULO RF DESALINHADO CANAL RETORNO,URA,1
55578,25/9/2014, 14:44,25/9/2014,20:00,5:15:49,Rede Externa,SG2000,MÓDULO RF DESALINHADO CANAL RETORNO,URA,21
55607,26/9/2014, 11:32,26/9/2014, 13:00,1:27:16,Rede Externa,BTD,MÓDULO RF DESALINHADO CANAL RETORNO,URA,45
55609,26/9/2014, 11:51,26/9/2014, 15:40,3:48:30,Rede Externa,BLE,MÓDULO RF DESALINHADO CANAL DIRETO,URA,28
55611,26/9/2014, 12:26,26/9/2014, 14:05,1:38:35,Rede Externa,BTD,MÓDULO RF DESALINHADO CANAL DIRETO,URA,45
55618,26/9/2014, 15:23,26/9/2014, 17:20,1:56:21,Rede Externa,MB,MÓDULO RF DESALINHADO CANAL DIRETO/RETORNO,URA,1
55625,26/9/2014, 16:41,27/9/2014, 10:30,,Rede Externa,MB,MÓDULO RF DESALINHADO CANAL DIRETO,URA,7
55678,28/9/2014, 08:34,28/9/2014, 13:00,4:25:33,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,URA,22
55679,28/9/2014 ,08:35,28/9/2014, 09:00,0:25:00,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,URA,27
55720,29/9/2014 ,14:10,29/9/2014, 14:55,0:44:35,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,URA,27
55721,29/9/2014, 14:33,29/9/2014, 17:45,3:11:27,Rede Externa,MB,MÓDULO RF DESALINHADO CANAL DIRETO,URA,1
55755,30/9/2014, 08:32,30/9/2014, 08:41,0:08:55,Node,GERAL,NORMALIZOU SEM INTERVENÇÃO,URA,46
55764,30/9/2014, 11:52,30/9/2014, 14:48,2:55:38,Rede Externa,BTD,MÓDULO RF QUEIMADO,URA,9
55780,30/9/2014, 16:00,30/9/2014, 18:15,2:14:55,Rede Externa,MB,MÓDULO RF QUEIMADO,URA,9
55781,30/9/2014, 16:05,30/9/2014, 17:20,1:14:36,Rede Externa,SG2000,MÓDULO RF OXIDADO,URA,28
55782,30/9/2014, 16:09,30/9/2014, 18:40,,Rede Externa,GERAL,IMPROCEDENTE,URA,41
55812,30/9/2014, 21:03,1/10/2014, 08:14,3:00:00,Rede Externa,GERAL,VERIFICAÇÃO DE REDE,URA,9
